mode,slow_value,trials,fast_wins,fast_win_pct,fast_first_pos_pct,fast_second_pos_pct,p_value,wilson_lo,wilson_hi,duration_sec
iter,0,2000,996,49.8,95.3,4.3,0.58,0.476,0.52,0.11
iter,10,2000,1015,50.75,98,3.5,0.258,0.486,0.529,0.11
iter,30,2000,983,49.15,91.3,7,0.783,0.47,0.513,0.12
iter,100,2000,1004,50.2,88.3,12.1,0.438,0.48,0.524,0.15
iter,300,2000,1021,51.05,96.6,5.5,0.18,0.489,0.532,0.11
iter,1000,2000,1075,53.75,94.8,12.7,0.000429,0.516,0.559,0.12
iter,3000,2000,1339,66.95,98.2,35.7,4.57e-53,0.649,0.69,0.11
iter,10000,2000,1950,97.5,100,95,0,0.967,0.981,0.12
